iter	Passed	Remaining
0	147	146871
1	149	74652
2	152	50551
3	154	38588
4	157	31295
5	159	26362
6	160	22809
7	162	20115
8	163	18014
9	165	16335
10	166	14944
11	167	13783
12	169	12837
13	170	11992
14	171	11261
15	172	10614
16	173	10036
17	174	9502
18	174	9023
19	175	8593
20	175	8202
21	176	7846
22	177	7521
23	177	7223
24	178	6949
25	178	6696
26	179	6463
27	179	6244
28	180	6043
29	181	5853
30	181	5677
31	182	5511
32	182	5357
33	183	5215
34	184	5083
35	185	4956
36	185	4835
37	186	4718
38	186	4606
39	187	4501
40	188	4401
41	188	4305
42	189	4213
43	189	4126
44	190	4043
45	191	3963
46	191	3887
47	192	3813
48	192	3743
49	193	3675
50	194	3610
51	194	3548
52	195	3487
53	195	3429
54	196	3374
55	196	3320
56	197	3268
57	198	3221
58	199	3177
59	200	3133
60	200	3088
61	201	3047
62	202	3005
63	202	2964
64	203	2925
65	204	2887
66	204	2850
67	205	2813
68	205	2777
69	206	2742
70	206	2708
71	207	2676
72	208	2644
73	208	2613
74	209	2582
75	209	2552
76	210	2523
77	211	2495
78	211	2467
79	212	2441
80	212	2414
81	213	2391
82	214	2365
83	214	2342
84	215	2319
85	216	2297
86	216	2274
87	217	2251
88	217	2230
89	218	2208
90	219	2187
91	219	2167
92	220	2147
93	220	2128
94	221	2108
95	221	2089
96	222	2071
97	223	2052
98	223	2034
99	224	2017
100	224	2000
101	225	1984
102	225	1967
103	226	1951
104	227	1935
105	227	1920
106	228	1905
107	229	1893
108	230	1880
109	230	1867
110	231	1854
111	232	1840
112	232	1827
113	233	1814
114	234	1803
115	234	1790
116	235	1777
117	236	1764
118	236	1751
119	237	1739
120	237	1727
121	238	1715
122	238	1703
123	239	1691
124	240	1680
125	240	1669
126	241	1657
127	241	1646
128	242	1635
129	242	1625
130	243	1615
131	244	1606
132	244	1596
133	245	1587
134	246	1578
135	247	1569
136	247	1560
137	248	1550
138	248	1541
139	249	1531
140	249	1522
141	250	1512
142	250	1502
143	251	1494
144	251	1485
145	252	1476
146	253	1468
147	253	1460
148	254	1451
149	254	1443
150	255	1435
151	255	1428
152	256	1420
153	257	1412
154	257	1404
155	258	1396
156	258	1390
157	259	1383
158	260	1375
159	260	1368
160	261	1361
161	261	1354
162	262	1346
163	262	1339
164	263	1332
165	263	1326
166	264	1319
167	265	1312
168	265	1305
169	266	1299
170	266	1292
171	267	1286
172	267	1279
173	268	1273
174	268	1267
175	269	1261
176	269	1255
177	270	1249
178	271	1243
179	271	1237
180	272	1232
181	272	1226
182	273	1220
183	274	1215
184	274	1210
185	275	1205
186	276	1201
187	276	1196
188	277	1190
189	278	1185
190	278	1180
191	279	1175
192	279	1170
193	280	1164
194	280	1159
195	281	1154
196	282	1149
197	282	1145
198	283	1140
199	283	1135
200	284	1130
201	285	1126
202	285	1121
203	286	1116
204	286	1112
205	287	1107
206	287	1102
207	288	1098
208	289	1094
209	289	1090
210	290	1086
211	291	1082
212	291	1077
213	292	1073
214	292	1069
215	293	1065
216	294	1061
217	294	1056
218	295	1052
219	295	1048
220	296	1044
221	296	1040
222	297	1036
223	297	1032
224	298	1028
225	299	1024
226	299	1020
227	300	1016
228	300	1012
229	301	1008
230	301	1005
231	302	1001
232	303	997
233	303	993
234	304	990
235	305	987
236	305	984
237	306	980
238	307	977
239	307	974
240	308	970
241	308	966
242	309	963
243	309	959
244	310	956
245	310	952
246	311	949
247	311	945
248	312	942
249	312	938
250	313	935
251	314	932
252	314	928
253	315	925
254	315	922
255	316	918
256	316	915
257	317	912
258	317	909
259	318	905
260	318	902
261	319	900
262	320	898
263	321	896
264	322	893
265	322	891
266	323	888
267	324	885
268	324	883
269	325	880
270	326	877
